id,uniqueSlug,displayName,description,skill,wealthMultiplier
02266486-4254-4ee7-8e19-ca7455ed61bd,apprenti-a-l-etranger,Apprenti à l’étranger,"L’éducation du personnage a été effectuée à l’étranger, dans une région différente de sa terre natale. Il y a appris une nouvelle langue ainsi que l’importance de s’ouvre aux autres cultures différentes de la sienne.",Linguistics,8
9a09b500-ea38-4227-9897-35c070182c8b,apprenti-d-un-maitre,Apprenti d’un maître,"Le personnage a tout appris d’un maître partageant un art ou une profession avec lui. Ce maître lui a enseigné les subtilités qui permettront au personnage d’être éventuellement reconnu comme un maître lui aussi. Cet apprentissage a été effectué dans l’ordre et la discipline, sous la direction du maître.",Discipline,12
122b98ea-72ff-4070-9bc8-6e8273619c50,champs-de-bataille,Champs de bataille,"Le personnage est un enfant de la guerre, un fugitif d’un conflit ayant affecté les civils. Son enfance est maigre de moments heureux et aisés, ce a fait de lui une personne endurcie dotée d’une personnalité pragmatique.",Resistance,4
fab22dff-2453-4382-a05e-9b934979e992,classique,Classique,"Peu peuvent se vanter d’avoir reçu une éducation traditionnelle comme celle du personnage. Il a suivi un parcours scolaire conforme et sans dérogation ayant mené à une instruction de haute qualité. Malgré son manque d’expériences personnelles, son grand savoir lui permet de se débrouiller même dans les situations les plus difficiles.",Knowledge,12
16fd1e0c-3936-46cf-bc06-6d1a3da6bd62,dans-la-rue,Dans la rue,"Élevé dans la rue, le personnage est peut-être issu d’une famille de sans-abris. Il peut également avoir été élevé par d’autres clochards, n’ayant jamais connu ses parents. Recruté par un cirque ambulant ou esquivant les situations malencontreuses par ses prouesses physiques, ses mouvements sont prompts et souples.",Acrobatics,4
b5193241-246e-4396-8af3-72631115470f,entreprise-familiale,Entreprise familiale,"Depuis sa tendre enfance, le personnage participe à l’activité principale de sa famille. Peu instruit, il a cependant développé une bonne intuition lui permettant de mener à bien ses tâches. Par la division du travail et la coopération avec sa fratrie, il a appris à collaborer et à partager.",Insight,10
28c49e8b-28c0-40d4-bbc2-a4945168999c,judicieux,Judicieux,"Peu importe le mode de vie dans lequel il a été élevé, le personnage prend des décisions sensées et éclairées au moment opportun. Il saisit les opportunités et on lui demande souvent conseil. Il sait mettre en exécution des plans complexes et trier les informations pertinentes.",Orientation,10
20d051d2-a755-4105-ab0a-5011550f0ce0,mentor-venerable,Mentor vénérable,"Le personnage a été confié à un vieux sage, par exemple ses grands-parents ou aux moines d’un sanctuaire. Il aura développé un tempérament serein pendant son enfance. Son mentor lui aura également enseigné à prendre le temps d’observer son environnement et à porter attention aux détails afin de poser des conclusions rationnelles.",Perception,8
6a3dd82d-6152-4bea-8943-b9647df50844,rebelle,Rebelle,"Malgré les efforts de ses parents à tenter d’élever un enfant calme et discipliné, le personnage désirait voler de ses propres ailes et faire ses expériences. Il a pu se soustraire à la surveillance de ses parents en camouflant ses méfaits par le mensonge, dupant ses parents ou les adultes qui l’ont pris à effectuer un délit.",Deception,6
2ef24da0-bf0c-477b-a554-060ad059d402,sous-contrainte,Sous contrainte,"Le personnage a vécu sous une supervision étroite au sein d’une famille stricte. Il s’est conformé aux demandes de ses parents et a coopéré lorsqu’il le jugeait nécessaire. Il a appris à dissimuler ses erreurs et fautes de parcours, et mène une double-vie dont ses parents n’en savent rien.",Stealth,6
